iter	Passed	Remaining
0	115	115148
1	116	57939
2	116	38822
3	117	29276
4	118	23550
5	119	19721
6	119	16980
7	120	14939
8	121	13348
9	121	12062
10	122	11010
11	123	10132
12	123	9390
13	124	8765
14	125	8217
15	125	7735
16	126	7310
17	127	6935
18	127	6597
19	128	6292
20	129	6017
21	129	5766
22	130	5537
23	131	5327
24	131	5133
25	132	4956
26	132	4789
27	133	4635
28	134	4492
29	134	4359
30	135	4233
31	136	4116
32	136	4006
33	137	3902
34	137	3804
35	138	3712
36	139	3624
37	139	3541
38	141	3482
39	141	3406
40	142	3335
41	143	3267
42	143	3204
43	144	3143
44	145	3084
45	145	3026
46	146	2971
47	147	2918
48	147	2867
49	148	2820
50	149	2773
51	149	2728
52	150	2685
53	150	2645
54	151	2605
55	152	2567
56	152	2530
57	153	2495
58	154	2461
59	154	2428
60	155	2396
61	156	2365
62	156	2334
63	157	2305
64	158	2278
65	159	2250
66	159	2224
67	160	2198
68	161	2173
69	161	2148
70	162	2125
71	163	2102
72	163	2080
73	164	2058
74	165	2037
75	165	2016
76	166	1996
77	167	1976
78	168	1960
79	168	1940
80	169	1921
81	169	1903
82	170	1881
83	170	1864
84	171	1846
85	172	1829
86	172	1813
87	173	1796
88	173	1780
89	174	1765
90	175	1749
91	175	1734
92	176	1719
93	176	1704
94	177	1690
95	178	1676
96	178	1663
97	179	1649
98	179	1636
99	180	1623
100	180	1610
101	181	1597
102	182	1586
103	182	1574
104	183	1563
105	184	1552
106	184	1541
107	185	1530
108	185	1518
109	186	1507
110	186	1497
111	187	1487
112	188	1476
113	188	1466
114	189	1456
115	189	1447
116	190	1436
117	190	1427
118	191	1418
119	192	1409
120	192	1400
121	193	1390
122	193	1382
123	194	1373
124	194	1364
125	195	1358
126	196	1350
127	197	1342
128	197	1335
129	198	1328
130	199	1320
131	199	1313
132	200	1306
133	201	1303
134	202	1297
135	203	1290
136	203	1284
137	204	1278
138	205	1272
139	206	1266
140	206	1261
141	207	1254
142	208	1251
143	209	1246
144	210	1240
145	211	1236
146	212	1230
147	212	1225
148	213	1221
149	214	1216
150	215	1210
151	216	1205
152	216	1199
153	218	1199
154	219	1194
155	219	1189
156	220	1183
157	221	1178
158	221	1173
159	222	1168
160	222	1161
161	223	1156
162	224	1151
163	225	1149
164	226	1145
165	227	1141
166	227	1137
167	228	1132
168	229	1127
169	229	1122
170	230	1116
171	230	1111
172	231	1108
173	232	1104
174	233	1099
175	233	1094
176	234	1089
177	235	1085
178	235	1081
179	236	1076
180	237	1072
181	237	1068
182	238	1064
183	239	1060
184	239	1057
185	240	1053
186	241	1049
187	241	1045
188	242	1041
189	243	1036
190	243	1032
191	244	1028
192	244	1024
193	245	1019
194	246	1015
195	246	1011
196	247	1007
197	247	1003
198	248	999
199	248	995
200	249	991
201	250	988
202	250	984
203	251	980
204	251	976
205	252	973
206	252	969
207	253	965
208	254	962
209	254	958
210	255	955
211	256	951
212	256	948
213	257	944
214	257	941
215	258	937
216	258	934
217	259	931
218	260	927
219	260	924
220	261	921
221	261	918
222	262	914
223	263	911
224	263	908
225	264	905
226	264	901
227	265	898
228	266	895
229	266	892
230	267	889
231	267	886
232	268	883
233	269	880
234	269	877
235	270	874
236	270	871
237	271	869
238	272	866
239	272	863
240	273	860
241	273	857
242	274	854
243	274	851
244	275	849
245	276	846
246	276	843
247	277	840
248	277	837
249	278	835
250	279	832
251	279	830
252	280	827
253	280	825
254	281	822
255	282	819
256	282	817
257	283	815
258	284	812
259	284	810
260	285	807
261	285	805
262	286	802
263	287	800
264	287	797
265	288	795
266	288	792
267	289	790
268	290	788
269	290	785
270	291	783
271	291	781
272	292	778
273	293	776
274	293	774
275	294	771
276	294	769
277	295	767
278	296	765
279	296	763
280	297	761
281	298	759
282	298	757
283	299	755
284	300	752
285	300	750
286	301	748
287	301	746
288	302	744
289	303	742
290	303	739
291	304	737
292	304	735
293	305	733
294	306	731
295	306	729
296	307	727
297	307	724
298	308	722
299	308	720
300	309	718
301	309	716
302	310	714
303	311	712
304	311	710
305	312	708
306	312	706
307	313	704
308	314	702
309	314	700
310	315	698
311	315	696
312	316	694
313	317	692
314	317	690
315	318	688
316	318	687
317	319	685
318	320	683
319	320	681
320	321	679
321	321	677
322	322	675
323	323	674
324	323	672
325	324	670
326	324	668
327	325	666
328	326	665
329	326	663
330	327	661
331	327	659
332	328	658
333	329	656
334	329	654
335	330	652
336	330	651
337	331	649
338	332	647
339	332	645
340	333	644
341	333	642
342	334	640
343	335	639
344	335	637
345	336	635
346	336	634
347	337	632
348	338	630
349	338	628
350	339	627
351	339	625
352	340	623
353	341	622
354	341	620
355	342	619
356	342	617
357	343	615
358	344	614
359	344	612
360	345	611
361	345	609
362	346	608
